,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,meanRR,meanRG,meanRB,StdDevRR,StdDevRG,StdDevRB,skewRR,skewRG,skewRB,kurtosisRR,kurtosisRG,kurtosisRB,entropyRR,entropyRG,entropyRB,meanH,meanS,meanV,StdDevH,StdDevS,StdDevV,skewH,skewS,skewV,kurtosisH,kurtosisS,kurtosisV,entropyH,entropyS,entropyV,meanL,meanA,meanB,StdDevL,StdDevA,StdDevB,skewL,skewA,skewB,kurtosisL,kurtosisA,kurtosisB,entropyL,entropyA,entropyB,meanY,meanCb,meanCr,StdDevY,StdDevCb,StdDevCr,skewY,skewCb,skewCr,kurtosisY,kurtosisCb,kurtosisCr,entropyY,entropyCb,entropyCr,meanXX,meanYY,meanZZ,StdDevXX,StdDevYY,StdDevZZ,skewXX,skewYY,skewZZ,kurtosisXX,kurtosisYY,kurtosisZZ,entropyXX,entropyYY,entropyZZ,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,ALLdaub4H,ALLdaub4S,ALLdaub4V,ALLdaub4L,ALLdaub4a,ALLdaub4b,ALLdaub4Y,ALLdaub4Cb,ALLdaub4Cr,ALLdaub4XX,ALLdaub4YY,ALLdaub4ZZ,CLASS
72189,5424,317.476,140.8378,50.112,0.9346,83.1027,0.972,5580,0.5672,2.8105,0.6763,0.5901,0.026,0.0092,0.3482,0.9785,220.3053,220.0583,229.0227,13.0085,12.9986,13.1987,-2.5126,-2.5731,-3.2828,18.1018,18.3364,21.0694,-2853036032,-2846055936,-3104773120,0.6698,0.0395,0.8981,0.0426,0.0104,0.0518,-11.2202,-0.8098,-3.2815,182.0465,4.5175,21.0633,1935.9603,56.8268,901.728,224.2992,129.0913,123.5446,11.9364,0.5674,1.2616,-2.8189,0.7158,0.9914,19.8642,5.2194,4.4274,-2964809728,-878692736,-797622720,205.9185,131.6678,127.2636,11.1688,1.1177,0.4436,-2.659,-0.72,1.1171,18.6616,3.7238,2.3785,-2459708160,-917898048,-851475328,0.6971,0.725,0.8481,0.0834,0.0874,0.0981,-1.4705,-1.3651,-2.0877,12.2988,12.0636,13.7591,1822.1407,1742.0537,1156.7822,110.1237,110.0004,114.4756,0.3346,0.0197,0.4489,112.1239,64.5458,61.7765,102.9352,65.8318,63.6326,0.3484,0.3623,0.4238,Jasmine
6639,6111,294.162,117.1307,66.6768,0.8222,88.2087,0.9836,6213,0.7526,1.7567,0.8875,0.7531,0.0192,0.0109,0.5671,0.9963,193.9069,192.2788,210.7598,16.6167,16.5781,17.9135,-0.9994,-0.9742,-1.2291,8.0708,7.9849,8.9248,-2443318784,-2398902016,-2931594240,0.6672,0.0901,0.8277,0.0806,0.0262,0.0701,-5.7129,-1.0632,-1.2264,34.7995,3.547,8.8889,2138.1243,247.6358,1507.1533,199.7367,131.2636,118.8791,15.5079,1.5155,3.704,-1.2045,-1.796,1.9643,8.9614,7.8798,8.3533,-2602652416,-1027254144,-826350272,183.3394,135.763,127.1699,14.2421,3.1382,0.3777,-1.0646,-2.0961,1.8035,8.2862,9.0127,4.4106,-2157488640,-1107055744,-957759296,0.5342,0.5455,0.6982,0.0954,0.0987,0.1241,-0.1664,-0.1068,-0.2411,5.2454,5.1288,5.5911,2092.6667,2100.5017,1931.9371,96.859,96.0451,105.277,0.3335,0.045,0.4135,99.7778,65.6308,59.4431,91.5882,67.8779,63.5856,0.2666,0.2722,0.3485,Karacadag
9186,7410,409.292,189.9335,51.1273,0.9631,97.1324,0.9646,7682,0.442,3.7149,0.5559,0.5114,0.0256,0.0069,0.2615,0.9716,215.9641,216.6958,243.3657,19.265,19.5914,16.9037,-0.6645,-0.6434,-3.5284,5.3139,5.0687,17.2786,-3753022464,-3781904384,-4852046848,0.6608,0.1137,0.9544,0.0325,0.0493,0.0663,-5.9043,-0.5562,-3.529,134.7934,2.0351,17.2831,2666.3528,445.6165,541.5601,222.0976,131.6327,114.6606,17.4381,2.1486,6.2018,-0.9306,-0.2857,0.5019,6.1413,1.8103,1.8887,-3980825600,-1253568000,-927485824,204.524,139.8022,125.6493,16.1277,5.3999,1.101,-0.9492,-0.5629,0.5402,6.1416,1.9372,3.0117,-3324586752,-1433724544,-1131026944,0.7001,0.7137,0.9575,0.1212,0.133,0.1291,-0.5237,-0.2177,-2.6873,4.5589,3.7781,12.0144,2350.2747,2248.6704,266.1327,107.9913,108.358,121.6829,0.3305,0.0568,0.4772,111.0554,65.8124,57.3343,102.2715,69.897,62.8241,0.3501,0.3569,0.4788,Basmati
42120,6870,392.26,182.9498,48.5768,0.9641,93.5262,0.9616,7144,0.7676,3.7662,0.5611,0.5112,0.0266,0.0071,0.2613,0.9843,212.8477,222.9533,237.5207,18.0678,17.55,14.7076,-0.3157,-0.7646,-3.2631,5.1578,6.9033,20.2784,-3367559680,-3722025216,-4260795648,0.5874,0.1044,0.9316,0.039,0.0414,0.0576,-3.6221,-0.5065,-3.2499,36.3346,1.9595,20.2078,2504.3403,358.8053,782.9664,225.2186,126.5886,119.6978,15.7771,0.9637,4.1135,-0.9186,0.1638,0.4196,7.7579,3.3451,1.9569,-3798941696,-1065955712,-943435008,206.2897,135.7604,122.5991,14.7367,3.6399,1.5541,-0.8309,-0.543,0.7585,7.242,2.0581,2.8878,-3136398080,-1244802176,-993346112,0.6975,0.7368,0.915,0.114,0.1243,0.1157,-0.1746,-0.0812,-1.8681,4.4064,4.0919,10.8191,2208.5835,2028.0427,780.0943,106.4253,111.4738,118.7456,0.2936,0.0521,0.4658,112.6045,63.298,59.8529,103.1431,67.8726,61.3037,0.3487,0.3684,0.4574,Basmati
17311,6986,405.885,192.8956,47.2848,0.9695,94.3125,0.9745,7169,0.3699,4.0794,0.5329,0.4889,0.0276,0.0068,0.2391,0.9752,221.0099,222.4118,240.7318,15.187,15.0683,15.2693,-1.7576,-2.0494,-3.6995,11.8715,12.9881,20.2656,-3706180608,-3757094400,-4462616576,0.6568,0.0832,0.944,0.0299,0.0257,0.0599,-5.0757,-1.1485,-3.7,144.0917,3.5873,20.2677,2521.7805,251.1097,649.0659,226.666,130.06,118.7103,13.7587,1.1494,2.9802,-2.3042,0.1413,1.1143,14.3491,3.075,3.6361,-3911396864,-1150642688,-941286656,208.4343,136.2899,125.9629,12.8598,2.6631,1.1178,-2.22,-1.2006,0.1646,13.7043,3.6181,2.759,-3256897536,-1276163200,-1072195648,0.7236,0.7466,0.9408,0.0978,0.1031,0.1159,-1.3576,-1.1386,-2.7953,9.1648,8.5654,14.0411,2220.1755,2106.7534,511.0893,110.4527,111.1508,120.3151,0.3286,0.0416,0.4718,113.2813,65.032,59.3527,104.1704,68.146,62.9814,0.3614,0.3729,0.4699,Basmati
31808,7876,346.562,139.1131,73.1471,0.8506,100.1401,0.9719,8104,0.7548,1.9018,0.8241,0.7198,0.0177,0.0093,0.5182,0.9855,218.9072,218.5317,221.083,17.2437,17.4696,16.3039,-1.2748,-1.2499,-1.3979,6.6403,6.4544,7.5278,-4099660288,-4085266688,-4185173248,0.4277,0.0123,0.8672,0.3298,0.0128,0.0641,-0.5012,0.9138,-1.391,1.2715,3.2565,7.4946,1744.8892,17.6452,1603.067,222.5335,128.3616,126.8188,15.8635,0.5345,1.2956,-1.3748,0.9816,-0.8614,7.2476,3.1678,3.2922,-4243495680,-1260061568,-1227030400,204.0527,129.0343,128.0184,14.8339,1.0827,0.1344,-1.2729,0.8212,7.1691,6.6047,4.3612,52.3538,-3511697408,-1274762240,-1252614912,0.6806,0.7134,0.7918,0.112,0.119,0.1241,-0.7407,-0.7238,-0.8012,3.8687,3.7805,4.2282,2597.4329,2459.6013,2011.0342,109.4737,109.2858,110.5615,0.2138,0.0062,0.4337,111.2835,64.1799,63.4094,102.042,64.5174,64.0093,0.3405,0.3569,0.3961,Arborio
54186,7174,416.38,199.0348,46.417,0.9724,95.5731,0.9695,7400,0.438,4.288,0.52,0.4802,0.0277,0.0065,0.2306,0.9887,216.5776,218.3274,238.9928,16.9842,17.2488,15.868,-0.9775,-0.9786,-2.9086,7.557,7.4328,15.8508,-3647728128,-3712875264,-4513003008,0.6502,0.0943,0.9372,0.0498,0.0379,0.0622,-9.9193,-0.418,-2.9076,130.6077,2.1939,15.8475,2586.5876,321.0299,741.3013,223.0112,130.3755,117.5125,15.4874,1.5194,4.4999,-1.2576,-0.2055,0.3421,8.7795,2.1103,2.1372,-3882155776,-1188028672,-946238080,205.0758,137.258,125.6136,14.3864,3.9319,1.1521,-1.2209,-0.355,0.3492,8.4772,2.2203,2.6286,-3232401664,-1331866496,-1094329984,0.6981,0.7186,0.9236,0.1091,0.1179,0.1234,-0.5732,-0.3461,-1.9073,5.4177,4.7785,9.411,2325.895,2221.3945,685.3151,108.2227,109.098,119.4323,0.325,0.0472,0.4684,111.4428,65.1879,58.7557,102.4839,68.6295,62.8062,0.3486,0.3589,0.4613,Basmati
14995,8605,365.594,146.5478,75.7087,0.8562,104.672,0.9715,8857,0.6382,1.9357,0.809,0.7143,0.017,0.0088,0.5102,0.9875,212.9354,213.3983,220.1971,17.6837,17.9936,17.514,-1.5406,-1.4974,-1.7659,6.7054,6.4886,7.6739,-4219990272,-4241210368,-4537618432,0.6503,0.0338,0.8635,0.0399,0.0117,0.0687,-12.4893,1.0279,-1.7656,205.6298,3.8017,7.6729,3113.1733,70.8376,1777.4303,217.9575,128.5413,124.3487,16.4952,0.736,1.2318,-1.6143,1.1536,-0.7974,7.1093,3.519,3.836,-4434060800,-1380975744,-1283645056,199.8017,130.825,127.093,15.2979,1.2192,0.2904,-1.5444,0.9066,2.8036,6.7065,2.9874,8.8576,-3666652672,-1435769344,-1346831872,0.649,0.6779,0.7812,0.1105,0.1169,0.1282,-1.054,-1.0157,-1.2049,4.4493,4.3164,4.9475,2924.8906,2830.3752,2261.6548,106.4287,106.6598,110.0578,0.325,0.0169,0.4316,108.9416,64.2708,62.1757,99.8672,65.4126,63.5466,0.3243,0.3387,0.3904,Arborio
71729,8348,362.69,145.4682,74.2331,0.86,103.0971,0.9664,8638,0.646,1.9596,0.7975,0.7087,0.0174,0.0089,0.5023,0.9843,216.2893,216.3121,225.2821,20.0867,20.5699,19.3502,-1.3662,-1.3066,-1.6633,5.9516,5.7009,7.1287,-4245442048,-4248655360,-4633335808,0.6616,0.0418,0.8835,0.0239,0.0144,0.0759,-12.776,0.5397,-1.6633,352.4218,3.2614,7.1284,3010.7046,98.1601,1487.4788,220.7888,129.0701,123.4139,18.7564,0.9201,1.4078,-1.4328,0.6779,-0.3966,6.2931,3.0558,3.4547,-4432984576,-1351949568,-1224784768,202.6142,131.7409,127.1258,17.3859,1.3674,0.3316,-1.3709,0.2524,2.2574,5.9461,3.1529,6.095,-3674585344,-1414520192,-1307353984,0.675,0.7026,0.822,0.1281,0.136,0.1462,-0.8725,-0.819,-1.0797,3.8703,3.7234,4.4713,2705.9319,2575.7942,1774.3202,108.0855,108.0963,112.5781,0.3308,0.0209,0.4415,110.3361,64.5354,61.7084,101.2546,65.8689,63.5633,0.3372,0.351,0.4106,Arborio
70786,7054,327.259,132.0582,68.5161,0.8549,94.7704,0.9789,7206,0.7121,1.9274,0.8277,0.7176,0.0187,0.0097,0.515,0.9926,207.5045,208.8275,219.3804,20.3965,21.0368,21.0621,-1.2323,-1.1873,-1.3476,4.4997,4.3174,4.8602,-3280763648,-3328714496,-3703106560,0.6493,0.0551,0.8603,0.0235,0.0107,0.0826,-2.7419,0.4795,-1.3468,84.0395,4.0069,4.8588,2560.7212,126.4776,1445.7455,213.7947,128.8836,122.5437,19.3371,0.7784,1.0239,-1.2694,0.7518,-0.366,4.6726,3.5648,4.8245,-3495625728,-1138729088,-1018810944,196.0258,132.7245,126.4884,17.8828,1.1016,0.6435,-1.2208,0.3097,0.7633,4.4401,2.8316,2.8121,-2891813376,-1214962304,-1092547328,0.6234,0.6492,0.7742,0.1265,0.1334,0.1534,-0.8839,-0.8555,-0.9672,3.1201,3.0484,3.3199,2375.7114,2318.9773,1776.9705,103.702,104.3647,109.6386,0.3246,0.0276,0.43,106.8486,64.4407,61.2731,97.9715,66.3621,63.244,0.3114,0.3243,0.3868,Arborio
50429,15589,503.619,208.7432,96.3903,0.887,140.8848,0.9765,15964,0.7889,2.1656,0.7724,0.6749,0.0134,0.0062,0.4555,0.9865,238.1529,239.5072,236.2108,11.4987,11.7118,13.0794,-3.6995,-3.748,-2.5425,25.7901,25.6841,15.5261,-9706317824,-9827923968,-9543267328,0.2401,0.0152,0.9393,0.1421,0.0131,0.0458,-0.3093,1.0644,-3.7562,2.1186,3.5435,25.7451,2618.3069,43.8628,1632.8474,240.7218,127.1215,129.3298,10.6176,0.5186,1.6423,-3.8532,0.155,1.1611,27.0609,3.4454,3.2973,-9931468800,-2441194240,-2536206848,221.0355,126.8339,127.524,10.0982,1.4194,0.638,-3.6036,-1.2625,0.4654,24.539,3.8485,2.6776,-8244755968,-2429370880,-2458306048,0.8179,0.8661,0.9227,0.0821,0.0857,0.1033,-2.4931,-2.6413,-1.8302,14.6209,15.5831,9.7717,3940.3828,3075.5044,1690.7781,119.0676,119.7443,118.0978,0.12,0.0076,0.4696,120.3525,63.5611,64.6642,110.5106,63.4175,63.7621,0.4089,0.433,0.4613,Ipsala
2811,10764,425.586,179.0029,77.6041,0.9011,117.069,0.9768,11020,0.5843,2.3066,0.7468,0.654,0.0166,0.0072,0.4277,0.9866,248.1213,248.8213,245.0227,11.967,11.7556,12.6572,-3.7874,-4.0484,-3.138,22.1726,24.1893,17.2817,-7329312768,-7373603328,-7134204928,0.1614,0.0154,0.9758,0.088,0.0153,0.0461,0.0921,2.1711,-4.0501,7.4969,9.7429,24.2016,1101.6715,33.0353,438.3162,249.2234,127.4341,129.7288,10.687,0.7562,1.7789,-4.0419,-1.3691,2.3543,24.4578,4.8353,10.3987,-7395985408,-1694813696,-1763219072,229.1763,126.4221,127.8815,10.2055,1.5387,0.5428,-3.8813,-2.4377,-2.143,22.8987,11.3136,10.5283,-6160128512,-1665502464,-1707928320,0.8936,0.9453,1.0026,0.0863,0.09,0.1035,-3.1495,-3.3017,-2.6136,16.1639,17.1742,12.6297,1729.379,851.8747,-379.5835,124.1021,124.4515,122.5549,0.0807,0.0077,0.488,124.6492,63.7173,64.8628,114.6231,63.2126,63.9411,0.4471,0.473,0.5017,Ipsala
10474,6792,321.45,128.8181,68.3607,0.8476,92.9938,0.9756,6962,0.6406,1.8844,0.826,0.7219,0.019,0.0101,0.5211,0.982,209.3155,207.8693,229.8673,16.702,16.4824,18.1545,-1.3642,-1.3771,-1.6598,7.7736,8.015,8.7388,-3206192384,-3157624576,-3933684224,0.6776,0.0962,0.9014,0.0115,0.0159,0.0712,0.3344,-0.9736,-1.6602,16.0266,5.8146,8.74,2425.3994,297.3432,1052.6021,214.2185,131.6837,117.1767,15.3179,0.9212,2.0299,-1.5417,-0.4996,1.0424,8.8628,4.2468,5.1042,-3367344896,-1149676032,-888841536,197.024,137.3569,126.8454,14.3284,1.773,0.6225,-1.4208,-1.0317,0.0132,8.0716,5.2225,3.2146,-2804757248,-1261873792,-1058528512,0.6375,0.6494,0.8461,0.1052,0.1075,0.1384,-0.7422,-0.6905,-0.9232,4.6914,4.6623,4.9867,2335.7427,2313.4409,1295.3187,104.6633,103.94,114.939,0.3388,0.0481,0.4507,107.119,65.8423,58.59,98.5156,68.6777,63.4225,0.3187,0.3246,0.423,Karacadag
33889,8145,355.771,146.5167,71.575,0.8726,101.8358,0.9788,8321,0.6161,2.047,0.8086,0.695,0.018,0.0088,0.4831,0.9889,194.633,194.8335,197.2476,15.2551,15.283,14.7284,-0.8217,-0.8526,-0.9487,5.5133,5.5793,6.1044,-3278368000,-3285803264,-3373109248,0.4366,0.0142,0.7736,0.307,0.0127,0.0578,-0.697,0.4488,-0.9474,1.5258,2.173,6.0928,1973.1217,21.215,2436.5491,200.7948,128.1546,126.7942,14.1865,0.398,1.1606,-0.9479,1.4263,-0.7833,6.0244,5.119,2.8823,-3504700160,-1298453248,-1268361984,183.5112,129.0956,127.6469,13.054,1.0098,0.478,-0.8567,0.7768,-0.6147,5.6348,3.4732,1.3779,-2877959424,-1319668224,-1287139968,0.5245,0.5503,0.6125,0.087,0.092,0.0982,-0.3169,-0.3135,-0.3782,3.8488,3.8116,4.0677,2789.824,2826.0642,2841.8721,97.2973,97.3971,98.6054,0.2184,0.0071,0.3867,100.3783,64.0778,63.3968,91.741,64.5481,63.8236,0.2621,0.2751,0.3061,Arborio
73513,12127,448.87,188.9779,82.7252,0.8991,124.2601,0.9785,12394,0.5553,2.2844,0.7563,0.6575,0.0156,0.0068,0.4324,0.9877,236.8069,237.4088,233.2248,10.1635,10.0802,10.0837,-3.2155,-3.3895,-2.8611,25.0282,26.4235,23.6177,-7453346816,-7494383104,-7209680384,0.1783,0.018,0.9314,0.0581,0.0093,0.0395,-1.3539,0.9238,-3.3977,9.585,7.8264,26.4162,1370.5958,36.744,1443.8514,239.0045,127.3322,129.8192,9.1428,0.4852,1.0306,-3.4989,0.5341,1.5313,27.7884,1.745,9.0474,-7601521152,-1905999616,-1989214592,219.3693,126.2755,128.0504,8.6702,0.8843,0.4386,-3.2925,-1.2362,0.8848,25.8082,9.0885,7.6715,-6304422400,-1871359232,-1929792128,0.8022,0.849,0.8962,0.071,0.0747,0.0806,-2.0916,-2.179,-1.7561,15.9613,16.3288,14.8149,3293.3083,2691.4209,1926.486,118.3496,118.6508,116.5587,0.0891,0.009,0.4655,119.4541,63.6658,64.9094,109.6387,63.1378,64.025,0.4008,0.4241,0.4477,Ipsala
53155,7304,411.64,195.082,48.8484,0.9681,96.4352,0.9718,7516,0.3775,3.9936,0.5417,0.4943,0.0267,0.0067,0.2444,0.9759,210.5044,214.441,232.6741,19.2119,18.6136,15.8233,-0.2687,-0.4719,-2.5508,4.3023,5.075,14.6394,-3499658496,-3640635392,-4334955520,0.6346,0.096,0.9124,0.0363,0.0422,0.062,-7.5848,-0.1936,-2.5497,133.0197,1.9417,14.6348,2659.374,339.404,1038.7611,218.897,129.2456,118.3528,16.8216,1.3201,4.3969,-0.6305,0.3344,0.2273,5.7052,2.7099,2.0464,-3800173312,-1186509312,-978560384,200.942,136.5253,124.8639,15.6694,3.821,1.364,-0.5767,-0.2599,0.4339,5.48,2.1078,2.6221,-3152247296,-1340039680,-1099588096,0.6623,0.687,0.8712,0.1189,0.128,0.123,-0.0416,0.0613,-1.332,3.8445,3.5911,7.9985,2418.4602,2321.2876,1245.2118,105.1687,107.1352,116.2592,0.3174,0.0481,0.4559,109.3716,64.6251,59.1724,100.4003,68.2666,62.4326,0.3306,0.3429,0.435,Basmati
26380,5852,283.33,108.9104,69.2472,0.7718,86.3192,0.985,5941,0.6929,1.5728,0.9161,0.7926,0.0186,0.0118,0.6282,0.988,198.8614,200.8341,216.2015,14.4273,14.583,15.6874,-2.0035,-2.1236,-2.4388,13.035,13.4489,14.2789,-2466066688,-2519940096,-2960833280,0.6486,0.0807,0.8478,0.0186,0.0181,0.0615,0.6034,-0.5372,-2.439,7.3353,2.9116,14.2799,2127.3562,195.9937,1332.4738,206.6921,129.4747,119.9827,13.6482,0.9652,2.0295,-2.3253,0.1594,0.4302,14.6698,3.0614,2.6562,-2680453632,-954296704,-806919232,189.486,135.0942,125.8375,12.5418,1.8514,0.8766,-2.1591,-0.5156,0.5207,13.6173,2.7057,3.154,-2216141824,-1048187392,-896143872,0.5721,0.5923,0.74,0.0837,0.0872,0.1077,-1.0788,-1.0312,-1.3642,8.4406,8.3685,8.7346,2067.8801,2069.9221,1778.7759,99.4176,100.4041,108.0833,0.3243,0.0403,0.4239,103.3327,64.7373,59.993,94.7325,67.5448,62.9195,0.286,0.2961,0.3699,Karacadag
17812,6433,296.643,113.9393,72.3872,0.7723,90.5028,0.9853,6529,0.7799,1.574,0.9187,0.7943,0.0177,0.0113,0.6309,0.9931,195.9416,196.6757,224.0564,14.2065,14.3516,14.9578,-1.0618,-1.1058,-2.1907,7.6281,7.6706,13.0157,-2624579840,-2646380800,-3515226112,0.6563,0.126,0.8787,0.0533,0.0351,0.0586,-10.3171,-0.838,-2.1917,119.6504,3.8584,13.035,2309.333,434.0565,1226.4169,203.8913,131.7567,114.1688,13.2063,1.5788,4.1799,-1.3347,-0.7202,0.9625,8.8656,3.2795,3.6613,-2859394560,-1090374272,-795923136,187.4063,140.1069,125.6202,12.1291,3.7019,0.8164,-1.2667,-0.9017,0.0971,8.5073,3.5443,3.4534,-2377438720,-1249383552,-981357568,0.5652,0.5733,0.7909,0.0824,0.0866,0.1079,-0.6058,-0.4708,-1.2085,5.9705,5.4301,8.1105,2267.5313,2265.0576,1708.8346,97.9097,98.2785,111.9531,0.3281,0.063,0.4391,101.8906,65.8754,57.0913,93.646,70.0472,62.8106,0.2822,0.2863,0.395,Karacadag
36576,5856,344.841,155.0885,48.6868,0.9494,86.3487,0.9589,6107,0.5571,3.1854,0.6188,0.5568,0.0265,0.0083,0.31,0.9875,201.6814,201.2408,210.8441,12.3801,12.3956,12.8983,-2.8449,-2.8974,-3.1818,18.5735,18.7156,19.6,-2540152832,-2528106240,-2799319040,0.6734,0.0456,0.8268,0.0312,0.0098,0.0506,-17.1217,-0.7837,-3.1817,370.7066,4.785,19.5982,2091.9092,77.1225,1485.4152,207.2515,129.2679,123.2695,11.6343,0.6097,1.0616,-3.0955,1.2575,1.1931,20.1211,4.6535,5.1331,-2694060800,-951546880,-856888000,189.8817,131.9051,127.3238,10.6694,0.977,0.4679,-2.9253,-0.8137,0.7533,18.8515,3.7484,1.5675,-2224345344,-994924608,-920252160,0.5726,0.5941,0.703,0.0701,0.073,0.0853,-1.8043,-1.7603,-2.0867,12.4379,12.3289,12.8938,2092.1953,2097.0923,1951.1189,100.8329,100.6134,105.4127,0.3367,0.0228,0.4134,103.619,64.6332,61.6358,94.9356,65.9512,63.6616,0.2863,0.2971,0.3515,Jasmine
19932,14461,481.383,199.784,92.8502,0.8854,135.692,0.9842,14693,0.6796,2.1517,0.7842,0.6792,0.0138,0.0064,0.4613,0.9926,230.6219,229.8968,226.0761,12.8759,12.7096,12.5855,-1.894,-1.9255,-1.7811,13.3239,13.7665,13.354,-8402415616,-8344195072,-8044745216,0.1618,0.0201,0.9047,0.1436,0.0167,0.0504,4.3351,1.7039,-1.8859,22.7558,5.8033,13.2715,1167.963,62.7031,2271.3118,232.5856,127.8853,129.9883,11.5281,0.4739,1.7857,-2.087,-1.5471,1.628,14.8984,8.1594,5.6287,-8552286720,-2294671104,-2379278592,213.2494,126.1765,128.7118,10.8905,1.571,0.7188,-1.9271,-1.6838,0.6441,13.7957,5.9618,4.1767,-7076323840,-2227975680,-2327567104,0.7518,0.7931,0.8367,0.0878,0.0927,0.0983,-0.9867,-0.9924,-0.8642,8.4255,8.4133,8.3552,4404.1665,3913.8335,3253.3596,115.2989,114.9371,113.0264,0.0809,0.01,0.4523,116.2823,63.9423,64.9944,106.6136,63.0885,64.3555,0.3758,0.3965,0.4182,Ipsala
57298,5092,330.815,151.4201,43.6791,0.9575,80.5192,0.9655,5274,0.5234,3.4666,0.5847,0.5318,0.0297,0.0086,0.2828,0.9803,212.2928,212.4617,217.9978,14.6117,14.729,14.6652,-2.0668,-2.166,-2.2006,13.7963,13.8878,14.2851,-2473963776,-2478477824,-2620909312,0.6587,0.0282,0.8549,0.0355,0.0077,0.0575,-5.9186,1.15,-2.2007,118.4141,7.8376,14.2856,1832.9271,30.0392,1123.5243,217.1475,128.4521,125.0768,13.5985,0.5968,0.8606,-2.3386,1.0167,-0.1072,15.0415,3.3637,4.0933,-2596640256,-815928128,-769395200,198.9535,130.2545,127.3841,12.6038,0.8083,0.4877,-2.1402,1.9813,0.4917,13.9248,7.3917,1.2831,-2144584832,-841413312,-801030336,0.6398,0.6688,0.7629,0.0901,0.0946,0.1056,-1.0109,-1.0329,-1.085,8.7933,8.7601,8.9593,1780.0549,1738.5133,1472.2025,106.2323,106.316,109.0807,0.3295,0.0141,0.4278,108.6515,64.2264,62.5409,99.5476,65.1269,63.6924,0.3205,0.335,0.3821,Jasmine
12115,9761,406.743,165.7834,76.8487,0.8861,111.4813,0.9609,10158,0.7086,2.1573,0.7414,0.6725,0.017,0.0079,0.4522,0.9755,223.8637,222.7087,218.6079,12.2626,12.1659,12.5217,-2.8914,-2.815,-2.2694,20.7028,20.6492,17.9227,-5313972224,-5254152192,-5046966272,0.1543,0.0237,0.878,0.172,0.0196,0.0481,3.7913,0.8562,-2.88,17.315,2.7289,20.6562,668.7971,57.0403,1898.8512,226.1865,127.914,130.2059,11.1634,0.5863,1.9887,-3.03,-0.9628,0.9476,22.0749,6.9506,2.9852,-5431294464,-1549658752,-1612013184,207.1375,125.9633,128.9781,10.4374,1.7657,0.8654,-2.8211,-0.8901,0.9073,20.7049,2.8703,4.1428,-4481712640,-1498337664,-1578287104,0.7005,0.7386,0.7762,0.0784,0.0826,0.0913,-1.5132,-1.5239,-1.0311,13.8254,13.787,12.3095,3281.5332,3077.291,2786.5322,111.8943,111.3172,109.2677,0.0774,0.0119,0.4389,113.0602,63.957,65.1024,103.5387,62.9822,64.4888,0.35,0.369,0.3878,Ipsala
7338,7542,418.228,201.2966,48.3246,0.9708,97.9937,0.9802,7694,0.3973,4.1655,0.5418,0.4868,0.0267,0.0064,0.237,0.9872,222.7598,221.6411,236.6124,17.9942,18.0966,15.3013,-0.7078,-0.666,-2.6163,5.8579,5.6968,14.7918,-4080058624,-4036152064,-4640688640,0.641,0.0695,0.9304,0.1506,0.0335,0.0581,-3.2914,-0.3842,-2.7507,12.9287,2.3369,16.2615,2520.1899,216.0423,872.7939,226.2226,130.52,120.6879,16.1346,1.5852,4.6892,-0.8925,-0.233,1.004,6.7266,2.5297,4.0238,-4212215808,-1252044160,-1055192320,208.1037,134.3661,127.2917,15.0044,4.1097,1.131,-0.8667,-1.064,1.5447,6.5491,4.2006,8.829,-3510182144,-1336200320,-1184644864,0.7225,0.7449,0.9087,0.1178,0.1279,0.1214,-0.3229,-0.1589,-1.503,4.3042,3.8269,8.3573,2319.5073,2172.5547,898.8499,111.3602,110.8036,118.2919,0.3207,0.0348,0.4651,113.0958,65.2618,60.3395,104.0379,67.1853,63.6444,0.3612,0.3724,0.4542,Basmati
2400,16193,507.186,214.4983,96.656,0.8927,143.5882,0.9877,16395,0.6736,2.2192,0.791,0.6694,0.0132,0.006,0.4481,0.9945,242.7928,244.7122,240.9651,11.031,10.9287,11.8268,-4.0487,-4.5865,-3.4685,30.5632,35.0372,24.5703,-10512470016,-10693677056,-10345060352,0.2761,0.0182,0.9599,0.1466,0.0168,0.0426,-0.164,2.9355,-4.5942,2.7488,18.6832,35.1814,3110.8765,62.1924,1139.0439,245.3288,126.9706,129.4934,9.9407,0.7023,2.1149,-4.6155,-0.4011,2.4833,35.9234,3.6016,12.1732,-10747805696,-2529188608,-2642196480,225.3238,126.6311,127.28,9.4111,1.888,0.9694,-4.3833,-2.4865,0.9325,33.3371,12.6534,5.7919,-8927509504,-2514922240,-2542897920,0.8559,0.9077,0.9648,0.0773,0.081,0.0941,-3.0769,-3.271,-2.5163,20.4489,21.7956,15.9178,3453.1443,2311.3418,689.2715,121.4296,122.3886,120.5137,0.1379,0.0091,0.4801,122.6949,63.4854,64.7475,112.6882,63.3149,63.6406,0.4281,0.454,0.4826,Ipsala
